application,year,value,country,program_type,program_name,unit,currency
Total,2019,220.2306295829262,Belgium,Civil,ESA,million,USD
Total,2020,193.3746328118456,Belgium,Civil,ESA,million,USD
Total,2019,61.16173379634614,Austria,Civil,ESA,million,USD
Total,2020,50.24525859939643,Austria,Civil,ESA,million,USD
Total,2019,1.513415078031591,Bulgaria,Civil,ESA,million,USD
Total,2020,1.513415078031591,Bulgaria,Civil,ESA,million,USD
Total,2019,42.00864092247905,Czech Republic,Civil,ESA,million,USD
Total,2020,34.51071275362116,Czech Republic,Civil,ESA,million,USD
Total,2019,39.71156305751321,Denmark,Civil,ESA,million,USD
Total,2020,32.62362970047441,Denmark,Civil,ESA,million,USD
Total,2019,3.418465536834144,Estonia,Civil,ESA,million,USD
Total,2020,2.808319422128895,Estonia,Civil,ESA,million,USD
Total,2019,25.82898025564143,Finland,Civil,ESA,million,USD
Total,2020,21.21888494241703,Finland,Civil,ESA,million,USD
Total,2019,1324.097331859359,France,Civil,ESA,million,USD
Total,2020,1181.266778698448,France,Civil,ESA,million,USD
Total,2019,1044.740967120691,Germany,Civil,ESA,million,USD
Total,2020,933.2427931354287,Germany,Civil,ESA,million,USD
Total,2019,13.25284976916962,Greece,Civil,ESA,million,USD
Total,2020,10.88740986395418,Greece,Civil,ESA,million,USD
Total,2019,8.059933288772909,Hungary,Civil,ESA,million,USD
Total,2020,8.059933288772909,Hungary,Civil,ESA,million,USD
Total,2019,22.47121282240805,Ireland,Civil,ESA,million,USD
Total,2020,18.46042989990282,Ireland,Civil,ESA,million,USD
Total,2019,1.575656853111098,Lithuania,Civil,ESA,million,USD
Total,2020,1.60461447040094,Lithuania,Civil,ESA,million,USD
Total,2019,34.28797128936399,Luxembourg,Civil,ESA,million,USD
Total,2020,28.16806976105861,Luxembourg,Civil,ESA,million,USD
Total,2019,117.5218601631685,Netherlands,Civil,ESA,million,USD
Total,2020,96.54592648799752,Netherlands,Civil,ESA,million,USD
Total,2019,89.22113163909192,Norway,Civil,ESA,million,USD
Total,2020,73.29646420201351,Norway,Civil,ESA,million,USD
Total,2019,656.9776548714948,Italy,Civil,ESA,million,USD
Total,2020,539.7167495767643,Italy,Civil,ESA,million,USD
Total,2019,44.67767859719576,Poland,Civil,ESA,million,USD
Total,2020,36.70336622914582,Poland,Civil,ESA,million,USD
Total,2019,23.40105611161114,Portugal,Civil,ESA,million,USD
Total,2020,19.22430975782983,Portugal,Civil,ESA,million,USD
Total,2019,53.82111177871256,Romania,Civil,ESA,million,USD
Total,2020,44.21483027987649,Romania,Civil,ESA,million,USD
Total,2019,1.566157557445148,Slovak Republic,Civil,ESA,million,USD
Total,2020,1.58532504230594,Slovak Republic,Civil,ESA,million,USD
Total,2019,3.537278846010094,Slovenia,Civil,ESA,million,USD
Total,2020,2.905926292864013,Slovenia,Civil,ESA,million,USD
Total,2019,227.6320519451835,Spain,Civil,ESA,million,USD
Total,2020,242.2816394466062,Spain,Civil,ESA,million,USD
Total,2019,192.9127791823475,Switzerland,Civil,ESA,million,USD
Total,2020,158.4806688021713,Switzerland,Civil,ESA,million,USD
